"","Precinct","RegisteredVoters","BallotsCase","Turnout","GovernorDem","GovernorRep","GovernorOther","SecretaryofStateDem","SecretaryofStateRep","SecretaryofStateOther","AttorneyGeneralDem","AttorneyGeneralRep","AttorneyGeneralOther","USSenateDem","USSenateRep","USSenateOther","USHouseDem","USHouseRep","USHouseOther","MISenateDem","MISenateRep","MISenateOther","MIHouseDem","MIHouseRep","MIHouseOther","MIBoardofEdDem","MIBoardofEdRep","MIBoardofEdOther","UofMRegentDem","UofMRegentRep","UofMRegentOther","MSUTrusteeDem","MSUTrusteeRep","MSUTrusteeOther","WSUGovernorDem","WSUGovernorRep","WSUGovernorOther","KCCDem","KCCRep","KCCOther","geo_id"
"101","Grand Rapids Ward 2 Precinct 38",2774,1449,0.52,1006,344,80,979,355,63,924,373,83,971,397,44,938,422,20,950,368,57,974,329,49,1602,588,240,1489,589,213,1523,572,183,1448,592,157,930,337,0,101
"102","Grand Rapids Ward 2 Precinct 39",1064,600,0.56,511,70,13,485,74,31,464,84,29,485,88,15,476,95,4,483,85,18,490,69,15,816,132,75,777,128,58,788,119,51,771,120,42,460,84,0,102
"103","Grand Rapids Ward 2 Precinct 40",1864,1218,0.65,996,173,37,972,186,40,944,187,51,974,199,27,945,233,8,979,183,27,968,192,0,1653,331,148,1561,305,153,1590,294,137,1522,303,99,922,185,0,103
"104","Grand Rapids Ward 2 Precinct 41",2477,1541,0.62,1623,974,131,1569,1007,110,1415,1065,179,1523,1100,79,1428,1175,73,1566,1015,97,1516,1099,0,2504,1676,415,2345,1655,394,2372,1612,384,2303,1602,310,1531,1012,0,104
"105","Grand Rapids Ward 2 Precinct 42",1918,1359,0.7,869,435,45,839,445,40,772,460,73,820,488,36,785,511,19,850,439,33,841,464,0,1325,758,217,1252,776,140,1285,737,151,1223,750,113,782,444,0,105
"106","Grand Rapids Ward 2 Precinct 43",1741,1142,0.65,659,432,33,643,428,36,592,461,41,625,472,25,589,484,25,637,448,23,611,465,0,1019,701,174,967,708,135,992,672,120,930,687,108,585,435,0,106
"107","Grand Rapids Ward 2 Precinct 44",1887,1259,0.66,688,521,31,676,512,41,584,554,73,682,531,25,611,589,25,658,534,32,645,557,0,1100,882,173,1034,906,154,1071,880,135,1020,886,126,599,558,0,107
"108","Grand Rapids Ward 2 Precinct 45",2124,1495,0.7,764,678,39,749,682,32,681,714,57,752,705,17,707,730,20,741,695,29,706,716,0,1226,1211,155,1160,1182,145,1189,1147,133,1111,1153,113,676,715,0,108
"109","Grand Rapids Ward 2 Precinct 46",2268,1248,0.55,732,456,45,716,467,47,658,497,60,718,484,27,661,530,16,711,458,42,684,499,0,1139,820,166,1100,811,146,1137,771,128,1083,766,132,652,491,0,109
"110","Grand Rapids Ward 2 Precinct 47",1676,1275,0.76,776,456,28,768,453,29,696,473,55,768,480,18,729,499,17,748,482,19,720,491,0,1219,834,136,1188,827,83,1206,790,95,1132,793,80,651,532,0,110
