TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,SamuelBagenstos,MeganKathleenCavanagh,ElizabethT.Clement,DougDern,KerryLeeMorgan,KurtisT.Wilder,WriteIn
Wyoming  Ward 1  Precinct 3,2130,940,44%,160,311,382,42,72,345,12
Wyoming  Ward 1  Precinct 4,2019,1071,53%,192,385,519,49,103,357,14
Wyoming  Ward 1  Precinct 5,2086,1037,49%,119,416,521,48,100,333,12
Wyoming  Ward 1  Precinct 6,1502,729,48%,128,216,384,59,84,238,11
Wyoming  Ward 1  Precinct 7,1890,1143,60%,149,319,572,76,104,534,8
Wyoming  Ward 1  Precinct 8,1230,576,46%,79,168,227,16,85,233,3
Wyoming  Ward 1  Precinct 9,2268,1029,45%,192,377,458,38,102,425,6
Wyoming  Ward 2  Precinct 10,1478,665,44%,113,242,314,28,60,195,6
Wyoming  Ward 2  Precinct 11,1351,568,42%,93,210,253,39,67,156,9
Wyoming  Ward 2  Precinct 12,1280,508,39%,53,137,272,38,74,153,10
Wyoming  Ward 2  Precinct 13,1666,873,52%,119,258,393,66,120,333,12
Wyoming  Ward 2  Precinct 14,1166,666,57%,86,212,314,17,84,321,2
Wyoming  Ward 2  Precinct 15,968,530,54%,90,167,252,21,51,241,9
Wyoming  Ward 2  Precinct 16,1352,771,57%,114,273,379,32,49,279,7
Wyoming  Ward 2  Precinct 17,1923,793,41%,124,290,388,44,91,221,22
Wyoming  Ward 2  Precinct 18,1211,667,55%,59,171,370,60,70,267,8
Wyoming  Ward 2  Precinct 19,1853,1047,56%,153,336,433,94,146,378,23
Wyoming  Ward 2  Precinct 20,1939,1002,51%,145,316,410,38,148,405,24
Wyoming  Ward 3  Precinct 21,2306,1266,54%,202,421,561,57,82,566,13
Wyoming  Ward 3  Precinct 22,1327,781,58%,110,263,410,21,52,289,7
Wyoming  Ward 3  Precinct 23,2223,1060,47%,156,414,535,34,90,341,17
Wyoming  Ward 3  Precinct 24,2330,1202,51%,142,331,650,86,116,462,11
Wyoming  Ward 3  Precinct 25,1673,1175,70%,146,319,580,81,98,535,8
Wyoming  Ward 3  Precinct 26,1254,791,63%,141,255,358,18,87,367,11
Wyoming  Ward 3  Precinct 27,1233,767,62%,113,250,378,20,37,372,6
Wyoming  Ward 3  Precinct 28,1984,1344,67%,186,444,754,40,81,549,22
Wyoming  Ward 3  Precinct 29,1566,1104,70%,107,392,634,41,59,442,16
Wyoming  Ward 3  Precinct 30,1989,1405,70%,149,299,883,76,91,668,14
