TOTALS: 252 of 252 Precincts ,RegisteredVoters,BallotsCast,Turnout,Tami Carlone (REP),Richard Zeile (REP),Judith P. Pritchett (DEM),Tiffany Tilley (DEM),Scotty Boman (LIB),John J. Tatar (LIB),Karen Adams (UST),Douglas Levesque (UST),Sherry A. Wells (GRN),Mary Anne Hering (WCP),Logan R. Smith (WCP),WriteIn
Wyoming Ward 1 Precinct 9,2268,1029,45%,326,272,457,450,28,26,23,8,19,55,29,4
Wyoming Ward 2 Precinct 10,1478,665,44%,202,175,311,297,25,14,18,9,14,35,17,1
Wyoming Ward 2 Precinct 11,1351,568,42%,129,123,281,277,17,16,8,8,16,35,28,3
Wyoming Ward 2 Precinct 12,1280,508,39%,149,136,227,223,24,18,15,4,8,25,12,3
Wyoming Ward 2 Precinct 13,1666,873,52%,314,283,348,322,30,22,14,8,18,45,34,2
Wyoming Ward 2 Precinct 14,1166,666,57%,295,272,229,218,21,18,8,6,15,30,19,6
Wyoming Ward 2 Precinct 15,968,530,54%,201,176,209,199,23,21,8,2,7,32,24,0
Wyoming Ward 2 Precinct 16,1352,771,57%,324,303,271,269,39,24,7,3,17,19,20,2
Wyoming Ward 2 Precinct 17,1923,793,41%,226,204,384,380,27,19,16,6,13,35,28,3
Wyoming Ward 2 Precinct 18,1211,667,55%,235,208,281,255,23,13,6,5,12,33,18,2
Wyoming Ward 2 Precinct 19,1853,1047,56%,351,340,461,424,35,21,18,9,21,37,30,4
Wyoming Ward 2 Precinct 20,1939,1002,51%,326,292,416,401,52,31,26,8,20,57,25,4
Wyoming Ward 3 Precinct 21,2306,1266,54%,515,478,470,452,42,29,27,10,17,54,32,5
Wyoming Ward 3 Precinct 22,1327,781,58%,323,298,292,275,20,8,15,10,8,35,19,1
Wyoming Ward 3 Precinct 23,2223,1060,47%,351,317,481,462,42,24,24,11,26,45,32,5
Wyoming Ward 3 Precinct 24,2330,1202,51%,480,448,453,457,47,31,17,8,15,46,42,2
Wyoming Ward 3 Precinct 25,1673,1175,70%,615,575,360,368,41,25,6,11,15,24,18,1
Wyoming Ward 3 Precinct 26,1254,791,63%,345,336,313,297,25,13,8,4,9,16,8,5
Wyoming Ward 3 Precinct 27,1233,767,62%,360,336,273,254,22,14,7,4,11,13,11,2
Wyoming Ward 3 Precinct 28,1984,1344,67%,695,644,443,404,38,23,18,6,17,34,17,5
Wyoming Ward 3 Precinct 29,1566,1104,70%,569,533,358,328,27,21,15,4,16,28,13,3
Wyoming Ward 3 Precinct 30,1989,1405,70%,796,732,398,372,39,28,16,8,10,22,9,4
